BUKRS,BELNR,GJAHR,BUZEI,HKONT,KOSTL,WRBTR,DMBTR,WAERS,BUDAT,BLDAT,SGTXT
5000,6270975960,2023,2,009433392,KST005,4185.67,4772,EUR,2022-01-22,23/02/2023,Payment received
2000,3322573844,2023,2,008224024,KST001,NaN,2883.42,EUR,27-05-2023,2023-09-19,Invoice payment
3000,ABC6040,2023,2,009260951,KST001,NaN,"8,523",eur,2023-05-07,2022-01-13,
3000,9849405779,2023,3,005530196,KST001,NaN,"1,456",eur,31-08-2022,2023-01-14,
5000,6204846524,2021,2,005599282,KST006,ERROR,2608.05,eur,25-12-2021,2021.01.21,Invoice payment
3000,5955024477,2023,2,005921021,,NaN,962.23,USD,09/09/2023,23-08-2021,Invoice payment
4000,381946,2022,3,008719166,KST002,ERROR,3072,EUR,2021.07.11,21-03-2023,Duplicate row
1000,999846,2022,3,005464947,KST005,ERROR,150,EUR,2022.09.19,2021-12-15,Vendor invoice
4000,515420,2021,2,005356149,KST008,2950.74,"8,919",EUR,2022.07.18,2021-04-03,Payment received
6000,925437,2022,1,007397952,KST003,912,2368,eur,2022.03.15,11/08/2021,Payment received
2000,610413,2023,3,006567259,KST008,2745,4801.96,EUR,2022.12.07,28-05-2021,Duplicate row
3000,ABC6911,2021,2,004035257,KST009,ERROR,4564.58,EUR,2021-11-29,14-04-2023,Vendor invoice
3000,1505534256,2022,3,006269061,KST009,NaN,"6,310",EUR,2021-07-16,08/09/2021,
4000,259560,2022,3,005827130,,4189,3965.09,EUR,2021.01.09,2021.12.05,
5000,229062,2022,2,008851053,KST001,NaN,313.11,USD,05/08/2023,2022-04-05,Vendor invoice
3000,ABC3803,2021,3,007956660,KST005,ERROR,"3,809",eur,2022-06-19,2023.04.16,
1000,550255,2022,3,004286274,KST009,2830,1123,USD,2021-05-11,2022-12-07,Payment received
3000,ABC6630,2023,1,004023175,KST005,NaN,3290,eur,14/07/2023,10/03/2023,Payment received
4000,ABC7225,2023,2,009254578,KST009,4005,2000.31,USD,2021.12.10,09/01/2023,Duplicate row
6000,5848075915,2023,1,008258707,KST006,ERROR,1004,EURO,05-01-2023,2022.02.28,Vendor invoice
6000,6052947725,2023,2,008946970,,164.15,174.59,eur,2023.01.17,18/12/2022,Invoice payment
2000,1313882102,2021,2,008248789,KST001,3597.83,"3,628",EUR,2023.06.19,14-05-2021,Payment received
2000,603379,2023,3,008058086,KST008,754.87,2515.3,eur,10/08/2022,08-10-2021,Duplicate row
6000,ABC4946,2022,1,006138423,KST006,1664.89,3695,eur,2022.07.04,02/11/2022,Duplicate row
6000,406508,2023,3,008554123,KST001,1578.33,3426,eur,06/08/2021,30/08/2021,Wrong amount
6000,ABC8203,2023,1,009026403,KST002,ERROR,2963.94,eur,07-07-2023,08-04-2021,
4000,7288239700,2022,3,008681672,KST002,ERROR,"2,940",EUR,2023-08-23,2023.04.19,Duplicate row
5000,4900759438,2023,1,005257412,KST009,ERROR,2334,EURO,11/11/2022,2021.08.09,Duplicate row
3000,417028,2022,1,004220263,KST009,1596.76,926,EUR,2022-07-02,06-05-2022,Wrong amount
3000,472101,2022,2,004325089,KST009,ERROR,"1,804",USD,2022.06.06,01-02-2022,Payment received
2000,125848,2021,3,009230490,KST008,1420,3574,eur,2022.08.24,19-02-2021,
5000,291132,2023,3,005162651,KST004,1147,1875.84,USD,2021.03.31,2022-10-13,Invoice payment
5000,ABC3741,2023,1,008292042,KST005,ERROR,3468.15,EUR,25/09/2021,2023.02.19,Wrong amount
1000,ABC1195,2022,2,009554353,KST001,4764,"2,193",EURO,11-08-2023,29/08/2021,Wrong amount
1000,ABC4190,2021,2,008184128,KST005,ERROR,1617.88,USD,15/06/2023,18-04-2023,Invoice payment
2000,335065,2022,3,006151187,KST004,NaN,1458,EURO,01/07/2023,2022.05.21,
3000,ABC1875,2021,2,004831361,KST001,1681,3541,eur,2021.12.30,03-09-2022,
4000,1870255999,2023,3,006515240,KST002,NaN,1539,USD,21/12/2022,2022-11-19,Duplicate row
3000,948968,2022,2,008429425,,1883,3293,EURO,05-11-2022,14-11-2021,Duplicate row
4000,9357743619,2023,1,006067369,,4180.31,1309,eur,03/12/2022,2021-02-23,
6000,ABC2827,2022,2,007182752,KST008,ERROR,4747,eur,14/11/2021,2022.12.28,Payment received
6000,5874603067,2022,1,008898467,KST005,NaN,4559.15,eur,14-04-2021,19-03-2021,Duplicate row
5000,770495,2023,3,006998801,KST002,ERROR,4180.22,USD,2023.01.12,2021.03.10,Invoice payment
4000,ABC6634,2022,1,009797947,KST008,NaN,"8,731",EUR,11/04/2021,2021-02-11,Vendor invoice
6000,ABC4090,2022,2,004188665,,1082.67,1195.98,EUR,28-06-2022,2023.07.02,
5000,ABC2403,2021,3,005304536,KST007,ERROR,2700.13,eur,2023-09-06,29-05-2023,Vendor invoice
5000,3995096910,2022,2,005508067,KST009,2771,2801,USD,10/09/2022,2021-12-28,Vendor invoice
4000,223633,2022,2,004675237,KST008,398.22,3510.96,EURO,2022-09-29,2022-01-30,Payment received
1000,ABC2966,2022,1,009864777,KST003,3628.7,1709.95,EUR,2022-11-05,05-05-2022,Duplicate row
5000,ABC7396,2022,2,006669687,KST009,ERROR,3966.22,EUR,23/11/2022,12/04/2023,Wrong amount
1000,ABC4737,2021,1,005972410,KST006,NaN,1698.3,eur,05/11/2021,2021.11.12,
4000,583006,2022,1,009528766,KST008,4846,"4,663",EURO,2021.02.22,15/08/2021,Payment received
5000,ABC8305,2023,2,004093980,,ERROR,1478.13,EURO,20/04/2021,2021.02.17,Duplicate row
4000,421304,2021,2,009769942,KST008,4699,"3,509",eur,29-07-2023,2023.09.23,
4000,ABC9586,2023,2,008392763,KST007,862,3194.47,eur,14-08-2022,2023.02.14,Wrong amount
3000,8310270916,2021,2,007802059,KST007,1783.7,2813.89,EUR,23/05/2021,09/11/2022,Vendor invoice
6000,2911490733,2021,2,009880897,KST006,NaN,4058.35,EUR,2021-10-01,2022.01.02,Payment received
5000,ABC6481,2021,2,009935756,KST006,4442,4952.99,EUR,2023.04.24,2022.02.14,Wrong amount
3000,8797285671,2021,3,007236452,KST008,4155,"5,880",EUR,2021.07.01,16/04/2023,Duplicate row
2000,801509,2022,3,004107946,KST007,NaN,451,EUR,2022.11.27,2023-05-02,Invoice payment
5000,7659845820,2023,1,004930601,KST004,2951.92,"6,158",USD,08-03-2023,2023.05.02,Duplicate row
2000,ABC3040,2021,3,005914534,KST004,4011,2571,eur,16/04/2022,24/01/2021,Vendor invoice
6000,ABC5793,2021,2,009461460,KST003,NaN,"8,277",USD,2021.10.29,24/07/2021,Payment received
3000,ABC7512,2021,2,006616367,KST007,ERROR,1701.15,USD,14-07-2021,2022-12-25,Duplicate row
5000,8685568416,2023,2,004530837,KST001,ERROR,2582.08,EURO,2021-05-08,2021-02-13,Payment received
2000,ABC4084,2021,1,007204010,KST008,ERROR,1277,eur,2023.03.22,10/04/2023,Payment received
3000,698691,2023,2,008380746,KST004,ERROR,1782.59,EURO,02-01-2022,26/05/2023,Invoice payment
5000,3716808346,2022,3,009710955,KST009,162.72,493.82,EURO,20/04/2021,2022.01.22,Wrong amount
3000,ABC2345,2022,1,005548005,KST001,NaN,"4,595",USD,2021.02.25,2022.04.11,Payment received
2000,ABC8366,2021,2,007582936,KST005,3288,2870.18,USD,2021.06.03,2023-04-07,
6000,8716318959,2022,1,006781230,KST008,NaN,762.96,USD,07-07-2022,16-08-2022,Wrong amount
4000,941868,2022,3,005740897,KST008,548,"8,590",EUR,13-06-2022,23/01/2022,Duplicate row
1000,193640,2023,3,009621828,KST008,NaN,"3,119",EURO,2023-08-31,2022-05-07,Wrong amount
4000,4034292536,2023,3,009469966,KST006,3167,2037.65,eur,16/08/2023,11-09-2022,Payment received
4000,ABC6855,2022,3,006361712,KST004,3325.92,"7,468",EUR,10/05/2022,17/05/2021,Payment received
6000,2546475675,2021,2,007186131,KST005,NaN,4737,EUR,2022.08.25,2022.09.03,Vendor invoice
2000,498826,2021,1,009007449,KST008,2397,"9,176",USD,2023.09.12,20/06/2023,Payment received
2000,ABC2369,2023,1,005739638,KST009,4741.3,491.43,EUR,2023.04.11,2021.01.20,Wrong amount
3000,ABC9563,2023,2,009277499,KST006,3938.43,1763,USD,2021.12.05,26/01/2023,Payment received
1000,ABC8208,2021,2,006065352,KST007,2707.77,3122,eur,2022-12-18,25-06-2022,Invoice payment
1000,3973278183,2021,2,008362507,KST007,638.0,"2,820",EURO,11/10/2022,19/03/2022,
3000,8420314246,2023,3,009782818,KST008,ERROR,1812.4,EUR,14-11-2022,19/04/2021,Invoice payment
5000,819570,2021,3,006735041,KST006,NaN,"1,640",USD,2021-08-30,18-09-2022,Vendor invoice
2000,ABC6364,2022,3,006880048,KST008,NaN,"7,852",USD,18-05-2023,2021-05-01,Vendor invoice
3000,ABC6100,2022,1,006330293,KST007,615.78,3851.03,EUR,2021.05.17,31/07/2021,Wrong amount
4000,201836,2021,1,009854206,KST004,3586,4290.46,EUR,27-06-2021,01-08-2023,Duplicate row
4000,818512,2023,3,008535601,KST001,ERROR,"6,926",eur,2022.08.30,25/03/2021,
3000,ABC6531,2022,2,008601132,KST004,3712,4001,USD,03-09-2021,02-05-2021,Invoice payment
4000,6911675056,2022,2,009555099,KST002,NaN,3739.53,EURO,2021.04.05,2023-02-27,Vendor invoice
4000,911806,2023,2,008129302,KST008,4761,"6,787",eur,2021.03.04,2021-10-24,Invoice payment
2000,ABC8101,2021,3,005473404,KST001,ERROR,"6,796",EURO,2023-07-27,13/01/2023,
2000,614885,2021,3,009071836,KST006,ERROR,1141.77,eur,2021-10-02,2021-01-16,Invoice payment
1000,ABC6344,2022,2,005837829,KST009,4544.64,1602.28,EURO,20/08/2023,19/06/2022,Invoice payment
4000,323903,2021,2,009542080,KST009,ERROR,2016,eur,2021-02-08,10/08/2022,Invoice payment
6000,ABC5594,2023,1,009142722,KST007,NaN,4725.47,USD,2021.09.29,2022-12-21,Wrong amount
5000,8209534751,2023,2,004746352,KST001,3271.53,2359,EUR,07-06-2021,03/12/2021,Duplicate row
4000,5453488014,2022,3,007155941,KST005,NaN,3121.8,USD,04/12/2022,05/11/2021,Vendor invoice
4000,714496,2023,3,009912242,KST006,598.58,1242,USD,05/09/2021,17/04/2022,Wrong amount
2000,6631679399,2021,2,005877538,KST003,ERROR,"2,165",eur,2022-12-05,08/07/2022,Payment received
2000,ABC5783,2022,1,009181244,KST002,NaN,"4,683",EUR,2022-04-30,2021.01.24,Wrong amount
1000,258732,2021,3,005254078,KST002,ERROR,"4,234",EURO,2021-10-06,20-02-2021,Duplicate row
2000,826774,2022,1,007661209,KST002,ERROR,4095,EURO,10/04/2021,08-07-2023,Duplicate row
4000,6770933084,2021,1,009847878,KST006,NaN,4367,eur,2022.02.03,2023-06-04,Wrong amount
4000,974844,2022,2,004141193,KST002,802,4876,USD,15-04-2023,20/08/2023,Wrong amount
6000,ABC4795,2023,3,005538892,KST008,732,2962,EURO,2022.07.31,08/06/2021,Payment received
5000,8165141924,2021,3,009270994,KST002,ERROR,"6,390",EURO,22-03-2021,28-06-2021,
2000,9558860276,2021,2,005741244,KST005,NaN,"4,976",EUR,2022.05.27,06-06-2023,Payment received
6000,ABC2795,2023,3,008533787,KST002,NaN,"4,374",EURO,12-06-2022,11-06-2022,Vendor invoice
5000,8437489646,2023,2,005879620,KST008,2544.95,1262.03,EUR,2023-03-26,2023-07-27,Payment received
4000,335222,2021,3,004785368,KST005,145,775.54,EUR,2021.04.27,2023.05.06,Vendor invoice
6000,ABC5592,2021,1,008977217,KST007,ERROR,832,eur,31-01-2023,28-01-2021,Wrong amount
5000,ABC9191,2021,2,008460155,KST009,ERROR,152.85,EURO,2022.12.31,20-02-2023,Invoice payment
4000,753912,2023,2,007022922,KST008,1813.03,2059,EUR,2021.03.30,2022-05-23,
4000,ABC3017,2023,2,008110664,KST004,1959,4530.94,USD,03-06-2023,2022.06.09,Payment received
1000,2421245136,2021,2,006573087,KST006,ERROR,2568,USD,2023-01-16,24-04-2021,Invoice payment
2000,8948356156,2021,3,005459047,KST007,1056,"3,275",eur,16/08/2022,11/08/2022,Payment received
6000,8020466421,2023,3,004234599,KST008,NaN,1067,EUR,2021-04-24,2022-01-11,Vendor invoice
2000,350064,2023,3,005959744,KST001,NaN,3612,eur,2021.03.22,08-05-2023,Wrong amount
2000,ABC7790,2023,1,005122527,KST005,ERROR,4019,eur,29/08/2023,2021.03.16,Payment received
5000,4541501323,2022,3,005640585,KST004,NaN,"2,892",EURO,2023-02-10,30-11-2021,Duplicate row
2000,134057,2022,2,004002135,,1462,"5,475",USD,2022.04.28,2022-03-14,Invoice payment
2000,369767,2022,2,009253611,KST008,4435.57,"7,976",eur,13-09-2022,09/11/2022,Payment received
6000,813839,2021,1,004582492,KST005,561.03,3245,EUR,2022-12-13,2022-08-01,Duplicate row
1000,8850262333,2021,1,007956228,KST005,3546.48,2080,USD,2022-05-22,2021.08.22,Vendor invoice
1000,513453,2021,1,008347862,KST007,2726.12,2015,eur,14/07/2022,12-09-2023,Duplicate row
3000,4879704285,2023,1,004404963,KST002,ERROR,"1,571",EUR,03-02-2021,2021.04.30,Payment received
2000,ABC8455,2021,3,004276435,KST007,ERROR,3773,eur,10/04/2021,31-12-2022,Vendor invoice
4000,798975,2021,2,007115001,KST009,3921,"4,818",eur,07-05-2022,04-01-2022,Duplicate row
3000,ABC1126,2022,3,009015029,KST001,3429,4529.61,USD,2021.02.06,2021-06-17,Vendor invoice
1000,5916255516,2021,2,004925023,KST003,NaN,2574,USD,07/08/2021,2021.07.29,Duplicate row
6000,ABC2821,2021,1,007240855,KST003,2551,2766,eur,2023.09.11,2022-12-20,
6000,ABC6015,2023,2,006869369,KST008,3080.41,"7,600",EUR,2021-05-27,27-02-2021,Invoice payment
6000,920830,2023,3,008190411,KST009,NaN,"7,365",eur,2021.01.21,2023-03-12,Payment received
5000,945914,2022,1,009894607,,3438.29,3918.8,eur,16/11/2022,22-03-2023,
5000,9291034956,2021,2,005710395,KST002,3799,3282.89,EURO,2022.03.29,2022-11-22,
1000,6943209221,2023,2,007308407,KST005,4065.33,"3,895",USD,30-11-2022,27-01-2023,
6000,4387417579,2023,3,009448246,KST009,3428.33,1258,EUR,13/11/2021,05-07-2021,
6000,7352741964,2021,2,008492681,KST006,ERROR,"1,422",USD,01-02-2022,2022-05-21,Payment received
4000,ABC2265,2022,3,004213501,,3015,"9,406",USD,12/06/2022,04/01/2022,
2000,ABC7550,2021,3,007310203,KST009,4030.32,2702.98,eur,2022.10.04,27/09/2021,Payment received
6000,6684777057,2023,2,008446614,KST001,ERROR,461,EURO,31-10-2021,11-03-2022,Wrong amount
3000,2608988032,2023,1,008986265,KST006,4948.21,695,USD,2022-02-17,11-09-2021,Duplicate row
4000,ABC1992,2021,2,008664242,KST005,2816.52,2214.24,USD,2023.04.19,2021.03.20,Duplicate row
6000,488255,2023,2,008974353,KST002,113.43,1877.27,EUR,29-08-2022,2022-10-19,Wrong amount
6000,725834,2022,1,009450930,,NaN,2059.31,EUR,29-10-2021,17/11/2021,Vendor invoice
3000,4051278856,2022,3,007105002,KST002,NaN,4657,eur,2023-02-15,17/05/2022,Vendor invoice
4000,ABC4915,2023,3,007524329,KST004,1423,"7,185",EUR,2022-02-26,2021-03-02,Wrong amount
4000,276470,2022,1,008508862,KST009,NaN,2169.42,EURO,16/05/2023,30/03/2022,Vendor invoice
2000,5231637914,2022,1,007717443,KST008,2290.39,"8,435",EUR,04/02/2021,30-11-2021,Payment received
3000,436466,2023,1,008018879,KST006,1654.57,3119.74,EUR,29/06/2021,26/11/2022,Duplicate row
6000,ABC1150,2022,2,004541730,KST003,3760.83,"4,942",EUR,07/06/2022,2022-12-21,Payment received
3000,ABC9847,2021,1,005748275,KST002,ERROR,2975.17,EURO,02-01-2022,15-04-2023,Wrong amount
6000,521541,2023,3,007370682,KST006,NaN,1870,USD,13/11/2021,06/08/2021,Duplicate row
4000,ABC3209,2022,2,004502729,KST005,463.23,"4,108",EURO,2022-02-21,2021-02-20,Wrong amount
3000,7207901273,2021,2,009350391,KST006,NaN,873.76,EUR,2023.08.31,2022.03.19,
6000,8561203007,2023,3,009352577,KST003,3180.19,1407,EURO,04/06/2023,06-07-2021,Duplicate row
2000,7635239100,2022,3,009284233,KST003,183.89,2766.37,USD,2023-05-17,30/03/2023,Vendor invoice
6000,983084,2021,1,008983964,KST004,ERROR,4206.08,eur,2022-12-03,09/09/2023,
6000,5927936109,2023,2,006906544,KST009,952.0,3800.22,EUR,2023-08-30,25-09-2023,Duplicate row
2000,ABC5797,2021,3,005241040,KST005,1218,936.27,EUR,04/01/2022,2022-07-31,Payment received
2000,646380,2021,2,006446875,KST003,2793.2,"2,924",USD,12-03-2021,13-02-2021,Duplicate row
5000,ABC3520,2022,2,009484659,KST008,1725.6,1356.86,eur,15/06/2021,22-04-2021,Payment received
3000,4566500915,2023,1,008729793,KST004,163.46,"6,827",USD,02-10-2022,2023-01-04,
6000,ABC9270,2022,2,009431460,KST008,1599.39,"4,465",EUR,2023-02-21,05-02-2022,Wrong amount
1000,559900,2021,1,008817020,KST001,ERROR,"3,757",USD,2021.01.22,19-11-2022,Vendor invoice
1000,ABC9442,2022,2,004280888,KST005,2745,2969.97,EUR,2021.11.26,18-09-2022,Payment received
3000,ABC2092,2022,1,007540497,KST009,NaN,978,EUR,2022-04-10,10/04/2023,
6000,4053406741,2021,1,008027501,KST007,ERROR,4936.3,USD,2023-08-30,25-07-2021,Vendor invoice
1000,ABC2597,2022,1,005645946,KST002,2117.05,2965.1,eur,2021.11.12,15-01-2023,Duplicate row
1000,1971868829,2023,3,004264448,KST002,3157.71,4787,USD,15/10/2022,23/10/2021,Wrong amount
4000,267249,2023,2,007221923,KST006,ERROR,3421.76,USD,2022.08.06,26/12/2022,Vendor invoice
3000,555109,2021,2,004215583,KST001,875.87,"2,502",EUR,04/02/2021,2023.02.22,Payment received
4000,1444160970,2023,2,004320418,KST001,ERROR,1846.22,EURO,11-01-2021,2022.11.19,Wrong amount
3000,ABC4773,2023,2,005514601,KST003,NaN,2020,EUR,2022-02-15,05-11-2021,Payment received
5000,ABC2942,2022,3,004507003,KST005,1257,500,eur,29-04-2021,24-04-2023,Vendor invoice
3000,ABC6026,2021,3,005663550,KST005,146.13,"4,351",eur,13/01/2021,2022.09.14,Payment received
6000,454187,2023,2,007682905,KST001,3470,3867.14,EUR,2021.04.19,05-06-2022,Payment received
1000,187705,2021,2,008060721,KST001,ERROR,"7,404",EURO,2022.02.26,06-08-2022,Payment received
5000,5252507432,2021,2,007053201,KST005,ERROR,4465.48,USD,31/10/2021,26-06-2022,Vendor invoice
4000,1748484722,2021,1,006225202,KST007,NaN,3204,USD,2023.09.24,2023-08-28,
2000,120416,2023,2,004047677,KST004,4344.35,4358.83,EUR,2021.04.15,15-08-2022,Invoice payment
3000,ABC6021,2023,3,006956456,KST006,1879.16,1272.55,USD,22/10/2021,15/01/2021,Vendor invoice
6000,ABC8085,2022,1,004918095,KST002,NaN,867,USD,2022-10-31,29/01/2023,
1000,ABC1936,2023,2,004116429,KST007,4252.68,4091.51,EURO,2023.09.15,2022.03.08,Invoice payment
2000,9294550329,2023,1,004488162,KST006,1206,905.95,EURO,2021-01-02,2023.06.17,Vendor invoice
4000,7270567523,2022,3,005620704,KST003,2838.16,3671,eur,2022.01.25,21-05-2022,Wrong amount
2000,ABC1069,2022,3,008603816,KST002,NaN,"5,871",EUR,2021.03.08,05-04-2023,Wrong amount
2000,ABC2136,2023,1,005983720,KST004,346,"3,826",EURO,01-11-2022,16-04-2022,Vendor invoice
1000,ABC2367,2021,2,009551734,KST009,4438.34,3148,EUR,14/02/2021,09/11/2022,Payment received
2000,2653283768,2021,3,009586378,KST006,495.74,"5,172",eur,2021.12.26,2022-04-28,Wrong amount
4000,6764765816,2022,3,005345999,KST001,ERROR,"1,773",USD,03-08-2022,2023.08.13,Vendor invoice
3000,4494945887,2021,2,006187060,KST009,1862,"2,473",eur,2023-01-03,24/04/2021,Wrong amount
2000,ABC8691,2022,3,004080674,KST009,2774.76,3119.65,eur,24/11/2022,26-02-2021,Vendor invoice
6000,7313888457,2021,1,006100319,KST009,ERROR,1012,EUR,2021.03.07,26/10/2021,Payment received
3000,ABC7444,2021,1,004752490,KST006,ERROR,"1,779",eur,07/11/2021,03/06/2021,Wrong amount
4000,ABC2901,2022,3,007525950,KST004,2266,"8,486",EURO,2023-07-12,2022-06-28,Invoice payment
5000,2451163712,2023,2,008398563,KST009,NaN,"8,534",USD,2021.11.24,09/05/2022,Vendor invoice
3000,2400012193,2022,1,006729094,KST003,1220.91,1260.97,USD,2021.03.24,2022.02.18,Invoice payment
5000,2640556188,2021,3,006299571,KST003,ERROR,"4,751",USD,24/04/2023,2023.09.10,
6000,272807,2021,3,007210021,KST007,3226.47,861,EURO,2023-07-04,2022-12-22,Vendor invoice
3000,2167333485,2022,3,006002893,KST007,4293.57,"6,399",EURO,2022.09.13,01-01-2023,Wrong amount
3000,7537024799,2022,1,006354694,KST002,1362.58,2182,USD,29/06/2021,2021-03-05,Payment received
2000,625754,2023,2,009567535,,2419,"4,500",USD,2023.09.26,03/08/2022,
1000,670797,2023,2,005260262,KST002,454,1304,eur,2023-08-04,2021.05.21,Vendor invoice
4000,1224481415,2023,1,008140948,KST004,963.46,"5,827",eur,03-03-2021,13/07/2021,Wrong amount
6000,ABC1728,2022,3,006674466,KST001,ERROR,847.09,USD,04/08/2023,2022.05.23,Duplicate row
6000,7016932275,2021,3,005155157,KST001,2270.45,2536,USD,28-04-2021,28-03-2023,Invoice payment
5000,ABC2949,2023,2,006612093,KST009,1640.97,4666.33,EURO,09-08-2022,30/05/2023,Payment received
6000,ABC1207,2023,1,008660993,KST007,NaN,"3,334",EUR,2022.04.01,2022.07.03,Duplicate row
2000,ABC2880,2023,3,006711606,,711.1,2098,eur,2021-05-30,2023.02.10,Payment received
3000,5624199101,2021,2,009163020,KST001,3583,1147,eur,22/11/2021,2021.03.23,Invoice payment
2000,5358065884,2021,3,009638210,KST004,NaN,3412,EUR,2022-04-04,2022.09.30,Invoice payment
3000,ABC1214,2023,3,004607298,KST006,NaN,"2,132",EURO,27/04/2022,06-09-2021,
5000,1618785341,2021,2,007661203,,ERROR,2153,EUR,2021.09.27,2022.11.17,Vendor invoice
5000,9105646194,2023,2,007093951,KST007,ERROR,"8,834",eur,22-12-2021,2021.09.06,Wrong amount
4000,ABC9332,2022,2,005548698,KST009,387,"2,678",EUR,2022-07-21,10/12/2021,
2000,105114,2023,1,004413450,KST001,344.86,3549,EURO,2021-11-05,2021-02-05,Payment received
1000,956845,2021,2,004228608,KST006,1158.65,1724.77,EURO,02/02/2022,2021.09.02,Duplicate row
5000,425483,2023,2,006929856,KST004,4295.51,4925,EUR,11-09-2022,2023.09.07,
6000,4169395050,2022,1,005216700,,2034.11,"1,412",EUR,2022-11-27,2021.04.17,Wrong amount
5000,ABC3256,2022,2,007512301,KST003,2814.03,4418,eur,2023-04-02,01-03-2022,Vendor invoice
4000,ABC3248,2023,3,004999961,KST001,3142.12,4539.6,EUR,2022-12-02,14-01-2023,
5000,7887602737,2021,1,005430339,KST006,ERROR,1210.48,EUR,16/11/2022,2023-04-07,Wrong amount
5000,420519,2023,3,005701787,KST007,ERROR,"4,114",EURO,2021.06.06,12/01/2022,Payment received
4000,640321,2021,2,007593738,KST005,NaN,2968,EURO,23-06-2023,01/04/2021,Wrong amount
4000,ABC4887,2022,3,006817679,KST007,ERROR,2468.36,USD,21/02/2023,2021.01.16,Duplicate row
3000,9696289799,2021,3,006982049,KST001,1193,3543,EURO,20-05-2023,2022.12.19,Invoice payment
5000,4914474098,2023,3,008600309,,NaN,"4,689",eur,13/04/2023,2022-04-18,
2000,ABC2031,2021,2,009180124,KST006,ERROR,3437,EURO,28/04/2022,09/02/2021,Wrong amount
3000,ABC2157,2021,3,005230525,KST007,NaN,3964.66,EUR,19/08/2021,15/05/2023,Duplicate row
6000,175920,2023,2,007914842,KST002,ERROR,728.67,USD,05-11-2021,2023-04-03,Invoice payment
5000,ABC7311,2021,1,009223565,KST001,1896,"1,878",EURO,30-07-2021,2021.02.28,Invoice payment
4000,824655,2023,1,005620968,KST002,2144,360.54,EUR,2022-03-26,26-08-2023,Vendor invoice
2000,ABC9104,2021,1,008014775,KST004,NaN,282,USD,2022-05-24,05-05-2021,Vendor invoice
6000,210514,2022,2,004766109,KST005,NaN,"4,904",eur,2023.01.23,2023.01.06,Vendor invoice
5000,519770,2022,3,007221361,,ERROR,"6,463",USD,18-02-2022,2022-08-18,
3000,304049,2022,3,007074963,KST007,NaN,"1,807",USD,2021.03.08,2022.01.06,Vendor invoice
4000,8260628060,2022,1,005921107,KST001,NaN,"4,560",EUR,2023-09-10,2021-07-22,
1000,953348,2023,2,006246627,KST002,NaN,"9,911",USD,17/07/2022,11/02/2022,Wrong amount
6000,5171882104,2023,2,009835240,KST007,ERROR,3859,EUR,2023-03-15,2021-02-10,Payment received
2000,588931,2022,1,004985757,KST003,NaN,2856,USD,24/07/2023,2022-12-26,Wrong amount
5000,170201,2021,1,006151098,KST009,3384,2065,EURO,16-05-2022,2022.08.02,
6000,7845430849,2021,2,007161173,KST005,4519.86,"7,217",EUR,2022.11.14,22/04/2022,
3000,ABC7926,2022,3,009633905,KST004,4157,1780,EURO,20-02-2023,2021-07-12,Duplicate row
6000,ABC4239,2021,2,004608533,,ERROR,4398,USD,11/02/2022,2023-04-10,Payment received
2000,4091975899,2023,1,004702791,,NaN,2417,USD,2021-09-02,01-07-2023,Duplicate row
6000,6494482983,2023,3,008061103,KST004,691.66,1966.65,EURO,2023.09.28,11/07/2023,
6000,ABC3931,2022,3,005713566,KST006,3364.43,4751.19,EURO,2022-07-30,2022-03-29,Duplicate row
3000,ABC4919,2023,1,007265201,KST008,3838.32,1255.92,eur,2022-03-11,14/07/2023,
4000,2938477765,2021,1,007468873,KST008,ERROR,4885.88,USD,2023.01.03,2021-05-19,Invoice payment
6000,637746,2022,3,005771014,KST001,1796.8,"4,417",USD,24/06/2021,2022-10-15,
3000,ABC9584,2021,3,004710996,KST003,ERROR,"2,654",eur,2022.03.10,16/01/2023,Payment received
4000,961950,2021,3,007118014,KST009,ERROR,"9,854",eur,2022-06-29,2022-05-04,Payment received
1000,ABC9477,2022,3,004918655,KST001,ERROR,"7,652",USD,2021-04-17,2021-01-10,
5000,5180570894,2023,3,006387817,KST007,NaN,3060,EUR,2023-03-05,2022.10.22,
6000,ABC8869,2021,1,004641062,KST007,ERROR,3495.68,EURO,2022-07-19,17-12-2021,Vendor invoice
1000,756892,2021,2,007155349,KST004,NaN,"4,360",USD,07/02/2022,15/09/2022,Payment received
1000,1412262236,2021,3,007408219,,ERROR,4170,EURO,18-02-2023,2023.05.15,
6000,ABC7719,2022,1,007418744,KST003,ERROR,"1,798",USD,02-12-2021,06-04-2021,
1000,ABC7575,2022,1,006928140,KST005,2226.73,"3,890",eur,02/04/2021,21-05-2023,Invoice payment
4000,ABC5024,2023,1,005966059,,3191,1357.83,eur,22-03-2021,20/07/2023,Invoice payment
4000,637860,2021,2,009017294,KST001,NaN,4631,EUR,2022.04.26,2022-07-23,Vendor invoice
1000,6260509962,2023,2,009358862,KST008,3285,"2,175",EUR,2023.05.16,2022-08-23,Invoice payment
1000,965857,2022,3,007829969,KST001,NaN,"3,980",EUR,21-06-2022,20-08-2021,Wrong amount
6000,ABC4930,2023,3,008622185,KST009,ERROR,"3,409",eur,18/11/2022,2022-10-21,Payment received
1000,4677017113,2022,3,008560273,KST004,NaN,3652.28,eur,15-05-2023,17-12-2022,Invoice payment
